id,First_Name,Last_Name,Work_Street_Address,City,State,US_Zip_Code,Age,Gender,Race,Ethnicity,Focus_of_Practice,Areas_of_Interest,Practice_Type,Practice_Setting,Practice_Area,Job_Function,Job_Role,Employment_Status,Affiliation,Years_in_Practice,First_Year_in_Practice,Primary_Practice_Location,Primary_Practice_District,NPI,Military_Service,Active_Military_Service,US_Govt_Employee,Active_Govt_Employee,Medical_License_State,Medical_License_Begin_Date,Medical_License_End_Date,Suspended_Account,CME_Eligible,Report_CME_to_ABA,CRNA_Eligible,Toolbox_Role,Level_PGY,Question_Bank_Content_Editing,Institution_Super_User
11,Judith,Lewis,7240 Spring St,Shreveport,LA,711017624,55,FEMALE,"UNS,AI",NOANS,NEURO_ANES,"GERIATRICS,ANES_RES,TRANS_MED",Ambulatory Surgery Center,Hospital - Community,SUBURBAN,"INDSCORPCS,ENGINEERING","BUDGETOWNER,SURGCTROWNER",INTCONTRACTLT,Trinity Health System,24,2001,LA,1,7298069901,,No,INDIAN_HEALTH_SERVICE,Yes,LA,12/07/2001,11/30/2028,0,0,0,0,Student,PGY-5,0,0
12,Avery,Reyes,"4298 Center Blvd, Suite 865",Rutland,VT,057012876,51,X,"ANI,UNS",NOANS,"RAA,ACD_MED,GER_ANES","APOOR,REG_ANES,PERIOP_MED,TRAUMA,GERIATRICS",Solo Practice,Government Facility,RURAL,PRACLECS,"DIRANESSVS,MEDDIR",OTHER,,8,2017,VT,12,4190496631,NAVY,Yes,,No,VT,12/07/2000,11/30/2028,0,1,1,0,Staff,PGY-3,0,0
13,Quinn,Long,9436 College Ct,Princeton,NJ,085426325,32,GNC,"BAA,OTHER,WHI",HL,"PERI_MED,NEURO_ANES,RAA",ONCOLOGY,Private Practice,Hospital - Community,URBAN,"INDSCONSUL,OTHER","HEADOFDIV,HIRINGINF,RESPGMDIR",WLTC,Providence Healthcare,6,2019,NJ,8,3545494808,,No,,No,NJ,12/03/2019,11/29/2033,0,1,1,0,Staff,PGY-2,0,0
14,Sharon,Patel,"4630 University Pl, Suite 202",Albuquerque,NM,871015853,33,FEMALE,"NHOPI,BAA,UNS",NOANS,"GER_ANES,ANES_RES",NSA,Academic Medical Center,Government Facility,SUBURBAN,"ENTREPRENEURSHIP,ENGINEERING","NONE,DEPTVICECHAIR",OTHER,Massachusetts General,6,2019,NM,1,2408240084,,Yes,INDIAN_HEALTH_SERVICE,Yes,NM,12/03/2017,11/30/2031,0,0,0,0,,PGY-5,0,0
15,Reese,Cruz,"9742 Water Rd, Suite 161",Baltimore,MD,212014404,54,GNC,NHOPI,NHL,"CCM,PERI_MED,NEURO_ANES",CCM,Solo Practice,Multi-Site Practice,SUBURBAN,"SOCLEADOFC,HOSPMGMTADM","DIRANESSVS,PRACTICEOPER",INDCONTRACT,,21,2004,MD,1,4123281206,MARINES,No,VA,Yes,MD,12/06/2004,11/30/2029,0,1,1,0,,N/A,0,0
16,Sage,Cruz,"9898 Oak Ct, Suite 718",Aurora,CO,800101423,38,X,WHI,NHL,"NA,GER_ANES","PEDIATRICS,QPI,GERIATRICS",Academic Medical Center,Multi-Site Practice,SUBURBAN,"QLTYMGMTREPT,INVENANDINNOV","JRNLEDITOR,PRACTICEOPER,DEPTCHAIR",APHHSACS,Trinity Health System,13,2012,CO,8,9904902787,USUHS,No,PUBLIC_HEALTH_SYSTEM,No,CO,12/02/2022,11/30/2029,0,0,1,0,Admin,PGY-5,0,0
17,Edward,Wright,"2246 Hill Way, Suite 596",Oklahoma City,OK,731021472,50,MALE,"NHOPI,BAA",NHL,"NEURO_ANES,CARD_ANES","AMB_OBA,ANES_RES,ACD_MED,TRAUMA",Private Practice,Government Facility,RURAL,"FELLOWEDUC,ENGINEERING,INDSCORPCS","HPPDM,OTHER",WLTC,Midwest Anesthesia Partners,19,2006,OK,12,3248086131,NATGRD,No,INDIAN_HEALTH_SERVICE,No,OK,12/06/2004,11/29/2035,1,0,1,0,,PGY-3,0,0
18,Avery,Hughes,"9468 Market Dr, Suite 520",Wichita,KS,672026213,44,NB,UNS,NHL,"ANES_RES,AMB_ANES,NEURO_ANES","GERIATRICS,OPHTHALMOLOGY,ONCOLOGY",Private Practice,Multi-Site Practice,SUBURBAN,"SCIRESEARCH,OTHER","RESPGMCOOR,SURGCTROPER",OTHER,,19,2006,KS,12,6627028951,,Yes,,Yes,KS,12/07/2001,11/29/2033,0,1,0,1,Resident,N/A,0,0
19,Alex,Garcia,1019 Hill Ln,Worcester,MA,016085000,35,NB,"NHOPI,OTHER",NOANS,RAA,"DIA,QPI,PERIOP_MED,AIR_MGMT",Academic Medical Center,Hospital - Community,SUBURBAN,"SOCLEADOFC,INVENANDINNOV","MEDDIR,SURGCTROPER,HIRINGDM",APHHSACS,Metro Anesthesia Associates,10,2015,MA,5,9222196937,USUHS,Yes,,No,MA,12/05/2008,11/29/2032,0,1,1,1,Student,N/A,0,0
20,Christian,Torres,3870 College Ln,Cheyenne,WY,820015106,57,MALE,"OTHER,NHOPI,UNS",NHL,"ANES_RES,CCM","DIA,GERIATRICS,OBA,PCEOLC",Solo Practice,Office-Based,RURAL,FELLOWEDUC,RESPGMDIR,INTCONTRACTLT,St. Mary's Medical Center,26,1999,WY,3,1047095214,,No,,Yes,WY,12/07/2003,11/30/2028,0,0,1,0,Staff,PGY-5,0,0
21,Joan,Brown,"9298 Church Dr, Suite 750",Columbia,SC,292015951,41,FEMALE,"UNS,NHOPI,OTHER",HL,"ANES_RES,NA,PED_ANES",EMI,Ambulatory Surgery Center,Office-Based,SUBURBAN,"PRACLECS,INDSCORPCS,ANESCTEDUC","HPPINF,FELLOWPGMDIR,MEDSCHDEAN",APHHSACS,Mountain View Medical,6,2019,SC,12,1200471138,USUHS,No,,Yes,SC,12/06/2004,11/29/2032,0,1,0,0,Admin,PGY-1,1,0
22,Alex,Miller,"5564 Pine Blvd, Suite 310",Washington,DC,200014394,36,X,"BAA,NHOPI",HL,"ACD_MED,ANES_RES","PHY_WELLNESS,PS,PRAC_MGMT",Private Practice,Government Facility,RURAL,"ENTREPRENEURSHIP,ENGINEERING,QLTYMGMTREPT","HPPINF,OTHER",INTCONTRACTLT,University Hospital,10,2015,DC,1,3529042284,,No,PUBLIC_HEALTH_SYSTEM,Yes,DC,12/06/2006,11/30/2029,0,1,1,0,Student,PGY-1,1,0
23,Taylor,Hernandez,2530 Maple Blvd,Springfield,MA,011037240,33,GNC,"ANI,AI",NHL,"GER_ANES,PED_ANES","REG_ANES,AMB_OBA,POCUS",Academic Medical Center,Office-Based,SUBURBAN,ENGINEERING,DEPTVICECHAIR,WLTC,Midwest Anesthesia Partners,8,2017,MA,7,4789611836,PHSCC,No,PUBLIC_HEALTH_SYSTEM,Yes,MA,12/06/2005,11/29/2034,1,0,1,0,,N/A,0,0
24,Keith,Ramirez,8000 Pine Ave,Columbus,GA,319012882,39,MALE,"AIAN,ANI",HL,PAIN_MED,"PERIOP_MED,AMB_OBA,BH,ONCOLOGY",Academic Medical Center,Outpatient Surgery Center,URBAN,"RESEDUC,HOSPMGMTADM,OTHER","MEDSCHDEAN,HPPDM",INDCONTRACT,Midwest Anesthesia Partners,10,2015,GA,6,9368998094,CSTGRD,No,,No,GA,12/07/2000,11/30/2030,0,0,0,0,Student,N/A,0,0
25,Reese,Turner,3631 Medical Ave,New Orleans,LA,701125640,43,X,AIAN,NHL,"PERI_MED,NA","PS,ANES_RES",Academic Medical Center,Hospital - Community,SUBURBAN,"INDSCONSUL,RESEDUC,NONE",JRNLEDITOR,INDCONTRACT,Regional Healthcare System,12,2013,LA,6,7840369003,,No,INDIAN_HEALTH_SERVICE,Yes,LA,12/07/2003,11/29/2035,0,1,1,1,Staff,PGY-1,0,0
26,Finley,Campbell,7255 Washington Dr,Boulder,CO,803029584,55,GNC,ANI,HL,CCM,"PAIN_MED,AMB_OBA",Community Hospital,Outpatient Surgery Center,URBAN,"ENGINEERING,HOSPLECS,QLTYMGMTREPT","PRACTICEOWNER,MEDSCHDEAN",APHHSACS,Northwest Medical Center,24,2001,CO,3,4535218188,,No,,Yes,CO,12/02/2022,11/29/2032,0,1,1,0,,PGY-5,0,0
27,Dakota,Martinez,1579 College Pl,Nashville,TN,372018368,31,NB,WHI,NOANS,"OBS_ANES,RAA","QPI,REG_ANES,DIA,ANES_RES,PRAC_MGMT",Private Practice,Multi-Site Practice,URBAN,"ANESCTEDUC,MEDSTUEDUC",HPPDM,INTCONTRACTLT,Memorial Hospital,5,2020,TN,1,3597820715,ARMY,No,,No,TN,12/09/1995,11/29/2035,0,1,0,0,Faculty,PGY-3,0,0
28,Lisa,Flores,"6271 Highland Ln, Suite 786",Norman,OK,730699624,51,FEMALE,"AIAN,OTHER,AI",HL,"ANES_RES,PAIN_MED,NA","QPI,PAIN_MED",Academic Medical Center,Hospital - Community,RURAL,"HOSPLECS,PRACMGMTADM,ANESCTEDUC","HPPINF,RESPGMDIR",INDCONTRACT,Ascension Medical Group,17,2008,OK,2,8505423573,,No,,No,OK,12/02/2022,11/29/2032,0,0,1,1,Admin,PGY-3,0,0
29,Emerson,Cook,"6959 Elm Dr, Suite 241",Bismarck,ND,585011854,44,NB,"AIAN,BAA",NOANS,NA,"REG_ANES,CARDIO_SYS,ANES_RES,ONCOLOGY,CCM",Academic Medical Center,Office-Based,RURAL,MEDSTUEDUC,SURGCTROPER,INTCONTRACTLT,,12,2013,ND,8,5818141247,,Yes,,Yes,ND,12/06/2004,11/29/2033,1,0,1,0,Student,PGY-1,0,0
30,River,Diaz,4820 Pine Rd,Wilmington,DE,198017878,34,X,"BAA,NHOPI",NOANS,"ANES_RES,PED_ANES",ALI,Academic Medical Center,Outpatient Surgery Center,SUBURBAN,"ENGINEERING,RESEDUC","OTHER,PRACTICEOPER,BUDGETOWNER",OTHER,City Medical Center,9,2016,DE,10,7117980893,PHSCC,Yes,,No,DE,12/06/2004,11/29/2035,0,1,0,0,Resident,PGY-5,0,0
31,Peyton,Chavez,"7712 River Way, Suite 930",Boise,ID,837022033,31,X,"OTHER,UNS",NOANS,PED_ANES,"TRANS_MED,OBA,REG_ANES",Ambulatory Surgery Center,Outpatient Surgery Center,RURAL,"OTHER,PRACMGMTADM","HPPDM,FELLOWPGMCOORD",APHHSACS,Providence Healthcare,6,2019,ID,4,0430305486,USUHS,No,,No,ID,12/07/2002,11/29/2033,0,1,0,0,,PGY-1,0,0
32,Finley,Diaz,7372 Center Way,Hilo,HI,967208126,39,X,"AIAN,NHOPI",HL,PED_ANES,"REG_ANES,AIR_MGMT,PERIOP_MED,PS",Private Practice,Hospital - Community,URBAN,"NONE,OTHER,MEDSTUEDUC","HIRINGDM,HEADOFDIV,DIRANESSVS",INDCONTRACT,Metro Anesthesia Associates,12,2013,HI,6,1658202970,AIRFORCE,No,VA,No,HI,12/03/2016,12/01/2026,0,1,1,0,Staff,N/A,1,0
33,Riley,Alvarez,"1538 Valley Ln, Suite 826",Manchester,NH,031019882,34,GNC,"AI,NHOPI,AIAN",HL,CCM,"POCUS,ALI,PRAC_MGMT,PERIOP_MED",Community Hospital,Multi-Site Practice,URBAN,MEDSTUEDUC,"DEPTVICECHAIR,MEDSCHDEAN,RESPGMDIR",INDCONTRACT,Community Hospital Network,5,2020,NH,8,2258313237,,Yes,,Yes,NH,12/04/2015,11/30/2030,0,0,0,0,Staff,PGY-2,0,0
34,Dakota,Hernandez,3316 Highland Pl,Bowling Green,KY,421015961,37,X,"NHOPI,OTHER,ANI",NOANS,"NA,PAIN_MED,PED_ANES",EMI,Private Practice,Hospital - Academic,RURAL,"SCIRESEARCH,INVENANDINNOV,SOCLEADOFC","HEADOFDIV,RESPGMDIR",OTHER,Academic Medical Group,10,2015,KY,11,1829922995,PHSCC,No,,Yes,KY,12/06/2005,11/29/2034,0,1,1,0,Faculty,PGY-3,0,0
35,Casey,Ross,8537 Hospital Ave,Gulfport,MS,395013007,57,GNC,"WHI,BAA",NHL,"NEURO_ANES,ACD_MED",OPHTHALMOLOGY,Multi-Specialty Group,Government Facility,SUBURBAN,"PRACMGMTADM,INDSCONSUL,HOSPMGMTADM","HPPINF,DEPTCHAIR,HIRINGINF",INTCONTRACTLT,Premier Healthcare,16,2009,MS,3,3210469632,USUHS,No,,Yes,MS,12/03/2016,11/29/2033,0,1,1,1,Student,PGY-4,0,0
36,Taylor,Roberts,"7478 Hospital Rd, Suite 738",Charlotte,NC,282023108,41,NB,"WHI,ANI",HL,"OBS_ANES,ANES_RES,GER_ANES","EPD,QPI,OPHTHALMOLOGY,SIM,GERIATRICS",Private Practice,Hospital - Academic,RURAL,"RESEDUC,SCIRESEARCH,QLTYMGMTREPT","PRACTICEOWNER,HIRINGINF,NONE",APHHSACS,Midwest Anesthesia Partners,13,2012,NC,6,5585239868,AIRFORCE,No,,Yes,NC,12/02/2021,11/29/2032,0,0,1,0,Admin,N/A,0,0
37,Amy,Jones,1900 Cedar St,Salem,OR,973013481,46,FEMALE,"OTHER,NHOPI",NOANS,"PED_ANES,PERI_MED","POCUS,ACD_MED,CARDIO_SYS",Ambulatory Surgery Center,Multi-Site Practice,SUBURBAN,"SCIRESEARCH,INVENANDINNOV",HIRINGINF,INDCONTRACT,Mountain View Medical,17,2008,OR,3,6897028385,,Yes,,No,OR,12/05/2011,11/30/2029,0,1,1,0,,PGY-4,0,0
38,Finley,Hernandez,"7347 Highland Rd, Suite 319",St. Paul,MN,551019824,39,NB,"WHI,AIAN,OTHER",NOANS,ACD_MED,"QPI,PRAC_MGMT,POCUS,ACD_MED,DIA",Academic Medical Center,Hospital - Academic,RURAL,"INVENANDINNOV,ANESCTEDUC",RESPGMCOOR,WLTC,Banner Health,5,2020,MN,6,4219933083,,Yes,,Yes,MN,12/03/2016,11/29/2034,0,0,1,0,Staff,PGY-1,0,0
39,Reese,Chavez,"8690 Spring Blvd, Suite 579",Cincinnati,OH,452024159,33,NB,"ANI,BAA",HL,"AMB_ANES,ANES_RES,PERI_MED","EPD,CARDIO_SYS,LEAD_DEV,NSA",Multi-Specialty Group,Government Facility,SUBURBAN,"INDSCONSUL,PRACMGMTADM","HPPDM,HIRINGINF",WLTC,University Hospital,7,2018,OH,9,5274205493,,No,INDIAN_HEALTH_SERVICE,No,OH,12/08/1999,12/01/2027,0,1,1,0,Staff,N/A,0,0
40,Quinn,Lewis,"7934 Park Way, Suite 720",Orlando,FL,328017813,39,X,AI,HL,GER_ANES,"AIR_MGMT,OBA,WIA,EMI,ONCOLOGY",Multi-Specialty Group,Hospital - Academic,RURAL,"PRACMGMTADM,ANESCTEDUC,SOCLEADOFC",OTHER,NOTPRACTICING,County General Hospital,10,2015,FL,9,7833918785,PHSCC,Yes,,No,FL,12/07/2002,11/29/2034,0,1,1,0,Resident,PGY-1,0,0
41,Ethan,Jones,"6798 Elm Blvd, Suite 846",Bangor,ME,044017887,47,MALE,NHOPI,NHL,"PED_ANES,PERI_MED","APOOR,ANES_RES,CCM,CARDIO_SYS,PCEOLC",Multi-Specialty Group,Hospital - Community,URBAN,"FELLOWEDUC,INDSCORPCS",SURGCTROWNER,INTCONTRACTLT,Johns Hopkins,6,2019,ME,1,7661825128,,Yes,PUBLIC_HEALTH_SYSTEM,No,ME,12/04/2013,11/29/2032,0,0,0,0,Resident,PGY-5,0,0
42,Elizabeth,Phillips,"3939 Hospital Dr, Suite 894",Manchester,NH,031013295,52,FEMALE,"AI,OTHER,UNS",HL,"OBS_ANES,NEURO_ANES",ADD_MED,Ambulatory Surgery Center,Outpatient Surgery Center,SUBURBAN,"OTHER,RESEDUC,MEDSTUEDUC","MEDDIR,DIRPREANESTSTCLINIC,HIRINGINF",OTHER,County General Hospital,6,2019,NH,9,3959953428,PHSCC,No,VA,Yes,NH,12/05/2008,11/30/2030,0,0,1,1,,PGY-5,0,0
43,Drew,Hernandez,"6179 Maple Pl, Suite 295",Manchester,NH,031015398,38,NB,"WHI,ANI,OTHER",NHL,"PERI_MED,CARD_ANES,NA","EPD,DIA",Private Practice,Hospital - Community,RURAL,"PRACMGMTADM,SCIRESEARCH","HPPINF,HIRINGINF,HIRINGDM",APHHSACS,Providence Healthcare,8,2017,NH,2,9013983735,NAVY,No,,Yes,NH,12/04/2012,11/29/2035,0,1,0,0,,PGY-1,0,0
44,Skylar,Howard,6941 Hill Blvd,Pittsburgh,PA,152227223,34,NB,"AIAN,NHOPI,WHI",HL,PED_ANES,LEAD_DEV,Solo Practice,Multi-Site Practice,SUBURBAN,"FELLOWEDUC,INDSCONSUL",SURGCTROPER,INTCONTRACTLT,Central Medical Group,5,2020,PA,9,7854777252,CSTGRD,Yes,INDIAN_HEALTH_SERVICE,No,PA,12/06/2006,11/30/2029,0,1,1,0,,PGY-1,0,0
45,Keith,Hughes,"7154 Elm Ave, Suite 636",Salt Lake City,UT,841014948,47,MALE,"AIAN,WHI,BAA",HL,"NA,OBS_ANES","PHY_WELLNESS,LEAD_DEV,QPI,ONCOLOGY",Solo Practice,Hospital - Community,SUBURBAN,"PRACLECS,MEDSTUEDUC","DIRANESSVS,OTHER,DEPTCHAIR",APHHSACS,,14,2011,UT,2,8454615679,MARINES,No,,No,UT,12/03/2018,11/29/2035,0,1,0,0,,PGY-1,0,0
46,Scott,Lee,"4039 University Ct, Suite 653",Salem,OR,973017288,52,MALE,"WHI,BAA",NOANS,GER_ANES,"ANES_RES,APOOR,PAIN_MED,ONCOLOGY,DIA",Multi-Specialty Group,Office-Based,SUBURBAN,ENGINEERING,HIRINGDM,OTHER,Metro Anesthesia Associates,17,2008,OR,11,1850163159,CSTGRD,Yes,,No,OR,12/07/2000,11/30/2028,0,1,1,0,Staff,PGY-1,0,0
47,River,Evans,"530 Maple Ln, Suite 711",Stamford,CT,069017311,44,X,AI,HL,"CCM,NA","POCUS,PERIOP_MED,REG_ANES",Community Hospital,Outpatient Surgery Center,SUBURBAN,"INDSCONSUL,QLTYMGMTREPT","PROFINSTRFAC,FELLOWPGMDIR,MEDSCHDEAN",WLTC,Valley Healthcare,13,2012,CT,3,6618398262,ARMY,No,VA,Yes,CT,12/01/2024,11/30/2030,0,1,1,0,,N/A,0,0
48,Peyton,Thompson,"5328 Hill Way, Suite 900",Billings,MT,591016339,49,GNC,"ANI,UNS,BAA",NOANS,"NEURO_ANES,ANES_RES,PED_ANES","CARDIO_SYS,NSA,AMB_OBA",Ambulatory Surgery Center,Government Facility,RURAL,"PRACLECS,OTHER,ENGINEERING","PROFINSTRFAC,NONE",WLTC,Mountain View Medical,11,2014,MT,5,6519398280,,No,,Yes,MT,12/04/2012,11/30/2030,0,0,0,1,Faculty,N/A,0,0
49,Peyton,Parker,272 Washington Rd,New Haven,CT,065108303,50,GNC,"WHI,UNS",HL,OBS_ANES,"ADD_MED,POCUS,PEDIATRICS,AIR_MGMT",Private Practice,Government Facility,RURAL,"PRACMGMTADM,MEDSTUEDUC,ENGINEERING","DEPTCHAIR,SURGCTROPER",INDCONTRACT,Academic Medical Group,25,2000,CT,5,7982507146,ARMY,No,INDIAN_HEALTH_SERVICE,Yes,CT,12/04/2013,11/29/2032,0,0,0,0,,PGY-4,0,0
50,Emerson,Brown,3332 Union Ct,Morgantown,WV,265054519,35,GNC,"UNS,NHOPI,BAA",NHL,"AMB_ANES,GER_ANES,PERI_MED","PAIN_MED,SIM,ONCOLOGY,PS",Solo Practice,Office-Based,URBAN,"ENTREPRENEURSHIP,INDSCONSUL","DIRANESSVS,FELLOWPGMCOORD",APHHSACS,Midwest Anesthesia Partners,6,2019,WV,6,1918255371,NAVY,No,VA,No,WV,12/03/2018,11/30/2030,0,0,1,0,Faculty,PGY-5,0,0
51,Cameron,Miller,257 Spring Blvd,Duluth,MN,558029281,35,GNC,WHI,NHL,"PERI_MED,NEURO_ANES,OBS_ANES","OBA,TRANS_MED,REG_ANES,OBSTETRICS,AIR_MGMT",Private Practice,Outpatient Surgery Center,RURAL,"HOSPMGMTADM,PRACLECS,ENTREPRENEURSHIP","RESPGMCOOR,HEADOFDIV,HIRINGINF",NOTPRACTICING,Regional Healthcare System,7,2018,MN,5,6767721903,AIRFORCE,No,,No,MN,12/06/2004,11/29/2033,0,0,0,0,,N/A,0,0
52,Rebecca,Davis,"5847 Hospital Rd, Suite 272",Salem,OR,973015794,49,FEMALE,"AI,NHOPI",HL,"CCM,PED_ANES,NA","AIR_MGMT,PERIOP_MED,ONCOLOGY,OPHTHALMOLOGY",Solo Practice,Outpatient Surgery Center,RURAL,"INDSCORPCS,NONE,PRACMGMTADM","HPPDM,PRACTICEOWNER",APHHSACS,Ascension Medical Group,9,2016,OR,7,4812604223,AIRFORCE,No,PUBLIC_HEALTH_SYSTEM,No,OR,12/04/2015,11/29/2035,0,0,1,1,Staff,PGY-3,0,0
53,Sage,Baker,"893 Oak Ave, Suite 956",Provo,UT,846011266,48,X,"AI,AIAN,BAA",NOANS,"CCM,PERI_MED,CARD_ANES","ONCOLOGY,PEDIATRICS,LEAD_DEV,WIA",Community Hospital,Outpatient Surgery Center,RURAL,"ENGINEERING,FELLOWEDUC","HEADOFDIV,OTHER,RESPGMDIR",INDCONTRACT,Cleveland Clinic,9,2016,UT,11,7706324241,USUHS,Yes,INDIAN_HEALTH_SERVICE,No,UT,12/02/2021,11/30/2028,0,0,1,0,,PGY-1,0,0
54,Casey,Carter,2281 Highland Blvd,Laramie,WY,820701138,40,NB,"OTHER,UNS",HL,CARD_ANES,"ONCOLOGY,CARDIO_SYS,DIA",Private Practice,Multi-Site Practice,URBAN,"ACADEMICS,INVENANDINNOV,HOSPMGMTADM","PROFINSTRFAC,OTHER,FELLOWPGMDIR",WLTC,Ascension Medical Group,10,2015,WY,6,7532697311,,No,,Yes,WY,12/06/2005,11/30/2028,1,1,0,0,Resident,PGY-5,0,0
55,Heather,Reed,"6086 Hospital Blvd, Suite 888",Omaha,NE,681021273,41,FEMALE,"AI,WHI,AIAN",NHL,"AMB_ANES,OBS_ANES","AMB_OBA,EPD",Solo Practice,Office-Based,RURAL,"SOCLEADOFC,ENGINEERING","SURGCTROPER,MEDDIR",APHHSACS,,10,2015,NE,9,0430068486,,Yes,,Yes,NE,12/06/2006,12/01/2027,0,1,0,0,Faculty,PGY-1,0,0
